"","num","inst","nombre","sexo","entidad"
"443",443,1855,"Director: Ing. Jesús Salvador Hernández Vélez ","m","COAH"
"444",444,1860,"Director: Dr. Felipe Morales Rodríguez ","m","COAH"
"448",448,1883,"Director: Lic. Marco Antonio Tamez Ceballos ","m","COAH"
"449",449,1888,"Director: Lic. En C. Q. José Manuel Martínez Gallegos ","m","COAH"
"452",452,1900,"Director: Mtro. Omar Lozano Cantú ","m","COAH"
"453",453,1904,"Director: Profr. Xavier N. Martínez Aguirre ","m","COAH"
"454",454,1908,"Director: Profr. Higinio González Calderón ","m","COAH"
"455",455,1912,"Director: Lic. Juan Ervey Rodríguez Jiménez ","m","COAH"
"458",458,1924,"Director: Lic. Yubia Argentina Montoya Chavez ","f","COAH"
"459",459,1929,"Director: Lic. Carlos Sánchez ","m","COAH"
"460",460,1934,"Director: Lic. Hernán Ruiz Pérez ","m","COAH"
"461",461,1939,"Director: Mtro. Juan Carlos Herrera Ascencio ","m","COAH"
"462",462,1944,"Director: Mtra. Martha Silvia Argüelles Molina ","f","COAH"
"463",463,1948,"Director: Mtro. Quintín Balderrama López, S.J. ","m","COAH"
"465",465,1956,"Director: Dr. Felipe Pérez Gavilán Torres, fsc ","m","COAH"
"466",466,1960,"Director: Mtro. Horacio Ervey Flores Flores ","m","COAH"
"467",467,1965,"Director: Lic. Oscar Perales ","m","COAH"
"468",468,1970,"Director: Lic. Sergio Camacho ","m","COAH"
"469",469,1974,"Director: C.P. Yubia Argentina Montoya Chávez ","f","COAH"
"470",470,1978,"Director: C.P. María Elena Baquera ","f","COAH"
"471",471,1982,"Director: Lic. Melissa Suárez Elguézabal ","f","COAH"
"472",472,1986,"Director: Ing. Maritriny González Saiz ","f","COAH"
"474",474,1994,"Director: Ing. Jesús Contreras García ","m","COAH"
"475",475,1998,"Director: Ing. Jamder Gabriel Alejandro González Esparza ","m","COAH"
"476",476,2002,"Director: Ing. Raúl Martínez Hernández ","m","COAH"
"477",477,2006,"Director: Dra. María Gloria Hinojosa Ruiz ","f","COAH"
"483",483,2032,"Director: Lic. Elsa Patricia Cruz ","f","COL"
"484",484,2036,"Director: Lic. Oscar Armando Ávalos Verdugo ","m","COL"
"485",485,2040,"Director: Dr. Gerardo Daniel Juárez Martínez ","m","COL"
"487",487,2048,"Director: L.R.C. Francisco Javier Valdés Mejía ","m","COL"
"488",488,2054,"Director: Licda. Margarita Ochoa Vargas ","f","COL"
"489",489,2058,"Director: M.C. Ana Rosa Braña Castillo ","f","COL"
"491",491,2066,"Director: Lic. Carlos Orozco Galeana ","m","COL"
"492",492,2071,"Director: Lic. José de Jesús Murguía Galván ","m","COL"
"493",493,2075,"Director: Ing. Rafael Alfonso Acuña Cepeda ","m","COL"
"494",494,2079,"Director: M. en A. José Eduardo Hernández Nava ","m","COL"
"495",495,2084,"Director: Lic. Edna Irela Velázquez Chávez ","f","COL"
"496",496,2089,"Director: M. en A. Lorena Hernández Ruiz ","f","COL"
"497",497,2094,"Director: C.P. Celso Armando Ávalos Amador ","m","COL"
"498",498,2099,"Director: Mtro. Adrián López Virgen ","m","COL"
"499",499,2104,"Director: Mtro. Eduardo Viera Maldonado ","m","COL"
"500",500,2109,"Director: Mtra. Leticia Jiménez González ","f","COL"
"501",501,2113,"Director: Dr. Humberto Uribe Preciado ","m","COL"
"502",502,2117,"Director: Mtra. María Luisa Nelly Huerta Díaz ","f","COL"
"503",503,2121,"Director: Lic. Antonio Richardi Rochín ","m","COL"
"505",505,2130,"Director: Dr. Jose Antonio Villavicencio Limón ","m","CDMX"
"506",506,2134,"Director: Dra. Julia Casamadrid Pérez ","f","CDMX"
"507",507,2138,"Director: Mtra. María Esther Nuñez Cebrero ","f","CDMX"
"508",508,2142,"Director: Mtra. Ana Sara Ferrer Bohorques ","f","CDMX"
"509",509,2146,"Director: Lic. Magdalena Lorenzo Rio ","f","CDMX"
"510",510,2150,"Director: Mtro. Mario Rivera Álvarez ","m","CDMX"
"511",511,2154,"Director: Dra. Lourdes Turrent Diaz ","f","CDMX"
"512",512,2158,"Director: Mtra. Ma. Teresa Magallanes Villarreal ","f","CDMX"
"513",513,2162,"Director: Lic. Germaine Gómez Haro ","f","CDMX"
"514",514,2166,"Director: Lic. Kerstin Scheuch ","f","CDMX"
"515",515,2170,"Director: Lic. Ricardo Pérez Enríquez ","m","CDMX"
"517",517,2178,"Director: Lic. Jesús Cuevas Sánchez ","m","CDMX"
"518",518,2182,"Director: Dra. Dolores Aldana Villavicencio ","f","CDMX"
"519",519,2186,"Director: Dr. Adán Casasa Araujo ","m","CDMX"
"521",521,2194,"Director: Mtro. Rafael Lara Barragán Vargas ","m","CDMX"
"522",522,2198,"Director: Mtra. Perla Vázquez Pérez ","f","CDMX"
"523",523,2202,"Director: Vicealmirante Mario Carbajal Ramírez ","m","CDMX"
"526",526,2214,"Director: Dr. José Mustre De León ","m","CDMX"
"527",527,2218,"Director: Dr. Sergio López Ayllón ","m","CDMX"
"528",528,2222,"Director: Dr. Fernando Ignacio Salmerón Castro ","m","CDMX"
"529",529,2226,"Director: Mtro. Carlos Gutiérrez López Velarde ","m","CDMX"
"531",531,2234,"Director: Lic. Raymundo Ampudia y Malacara ","m","CDMX"
"532",532,2238,"Director: Lic. Leandro Ricardo Ampudia Rovirosa ","m","CDMX"
"533",533,2242,"Director: Dra. María de la Luz García Alonso ","f","CDMX"
"534",534,2246,"Director: Dr. Enrique Larios Díaz ","m","CDMX"
"535",535,2250,"Director: Mtra. Raquel Bucay Moreno ","f","CDMX"
"536",536,2254,"Director: Mtra. Martha Celia Laurrabaquio Jiménez ","f","CDMX"
"537",537,2258,"Director: Mtro. Matthew Whitehouse ","m","CDMX"
"538",538,2262,"Director: Lic. Gilberto Morett Valeriano ","m","CDMX"
"539",539,2266,"Director: Lic. José Luis Soto González ","m","CDMX"
"540",540,2270,"Director: C.P. Eduardo Solís Torres ","m","CDMX"
"541",541,2274,"Director: Sor Margarita Soto López ","f","CDMX"
"542",542,2278,"Director: Dr. Jaime F. Ayala Villarreal ","m","CDMX"
"543",543,2282,"Director: Profra. Laura Nicteha Argaez Mancilla ","f","CDMX"
"544",544,2286,"Director: Mtro. Arturo Anaya Muñoz ","m","CDMX"
"545",545,2290,"Director: Lic. Rosa María García Arana ","f","CDMX"
"546",546,2294,"Director: Lic. Emigdio Herrera Calderon ","m","CDMX"
"547",547,2298,"Director: Dra. Silvia Elena Giorguli Saucedo ","f","CDMX"
"548",548,2303,"Director: Andrea Dueñas Alfaro ","f","CDMX"
"549",549,2308,"Director: Lic. Andrea Dueñas Alfaro ","f","CDMX"
"553",553,2324,"Director: C. P. Alejandro Aisawa Lara ","m","CDMX"
"554",554,2328,"Director: C.P. Raymundo Solís Rodríguez ","m","CDMX"
"555",555,2332,"Director: M. en E. Luz Elena Pale Montero NC ","f","CDMX"
"556",556,2336,"Director: Por designar ","m","CDMX"
"558",558,2344,"Director: Mtra. María Tolina Alcántara García ","f","CDMX"
"559",559,2348,"Director: Lic. Silvia Vega Hernández ","f","CDMX"
"560",560,2352,"Director: Lic. en Enf. María Teresa Barrón ","f","CDMX"
"561",561,2356,"Director: Lic. Enf. Maricela Cruz Corchado ","f","CDMX"
"562",562,2360,"Director: Dr. David Kershenobich Stalnikowitz ","m","CDMX"
"563",563,2364,"Director: Arq. M. V. Ana Bárbara Arriaga Ahumada ","f","CDMX"
"564",564,2368,"Director: Mtro. Víctor Hugo Villalva Jiménez ","m","CDMX"
"565",565,2372,"Director: Dr. Proceso Sánchez Ortega ","m","CDMX"
"566",566,2376,"Director: Prof. Álvaro Jorge Becker Cuéllar ","m","CDMX"
"567",567,2380,"Director: Lic. Luis M. Díaz Mirón A. ","m","CDMX"
"568",568,2384,"Director: Dr. Pedro Fernando Infante Leonides ","m","CDMX"
"569",569,2388,"Director: Profr. Enrique Velázquez Zamora ","m","CDMX"
"570",570,2392,"Director: Almirante Vidal Francisco Soberón Sanz ","m","CDMX"
"571",571,2396,"Director: Lic. Jaime Alfonso Barceló Infante ","m","CDMX"
"572",572,2400,"Director: Lic. Gabriela Islas Pascual ","f","CDMX"
"573",573,2404,"Director: Mtra. Julieta Valle Esquivel ","f","CDMX"
"574",574,2408,"Director: Mtro. José Mariano Orozco Tenorio ","m","CDMX"
"575",575,2412,"Director: Dr. Alfonso Geoffrey Recoder Renteral ","m","CDMX"
"576",576,2416,"Director: Lic. María Raquel Guadalupe Bárcena Molina ","f","CDMX"
"577",577,2420,"Director: Lic. María del Rosario Guerrero Alcalá ","f","CDMX"
"578",578,2424,"Director: Profra. Alicia Sodi ","f","CDMX"
"579",579,2428,"Director: Lic. Alicia Vivanco ","f","CDMX"
"580",580,2432,"Director: Dra. María Esther Basurto López ","f","CDMX"
"581",581,2436,"Director: Profra. Sara López y de León ","f","CDMX"
"582",582,2440,"Director: Profra. Alejandra de la Luz Torrero Díez ","f","CDMX"
"583",583,2444,"Director: M. Teresita Fernández Ontañón ","f","CDMX"
"584",584,2448,"Director: Profr. Gonzalo López Rueda ","m","CDMX"
"585",585,2452,"Director: Mtro. Eduardo Preciado Rabago ","m","CDMX"
"586",586,2456,"Director: Lic. David E. Freyer Manjarrez ","m","CDMX"
"587",587,2460,"Director: Lic. Rene Gerardo Villanueva Montaño ","m","CDMX"
"588",588,2464,"Director: Profr. Rafael Adrian Suarez Cortes ","m","CDMX"
"589",589,2468,"Director: Lic. Gustavo Escalante Patiño ","m","CDMX"
"590",590,2472,"Director: Dra. Gloria Del Castillo Alemán ","f","CDMX"
"591",591,2476,"Director: Dr. Enrique Calderón Alzati ","m","CDMX"
"597",597,2500,"Director: Dr. José Alberto García Aranda ","m","CDMX"
"600",600,2512,"Director: Profa. Nancy Monroy Sánchez ","f","CDMX"
"601",601,2516,"Director: Mtra. Eletta Leoni Morelli ","f","CDMX"
"602",602,2520,"Director: Mtro. José Manuel Peralta Lucio ","m","CDMX"
"603",603,2524,"Director: Lic. Francisco Javier Gaxiola Fernández ","m","CDMX"
"605",605,2532,"Director: Lic. Juan Carlos Mendoza Sánchez ","m","CDMX"
"606",606,2536,"Director: Lic. Ricardo Mena Penna ","m","CDMX"
"607",607,2540,"Director: Lic. Jesús Cendejas Contreras ","m","CDMX"
"608",608,2544,"Director: Mtro. José Antonio Emerich Zazueta ","m","CDMX"
"609",609,2548,"Director: Dr. Salvador Leaños Flores ","m","CDMX"
"610",610,2552,"Director: Dr. David Samuel Gutverg Rosenblum ","m","CDMX"
"611",611,2556,"Director: Dr. Andrés Gaitán González ","m","CDMX"
"612",612,2560,"Director: Lic. Alberto Castaño Zorrilla ","m","CDMX"
"613",613,2564,"Director: Lic. y C.P.C. Jesús Patiño Soto ","m","CDMX"
"614",614,2568,"Director: Mtra. Emmanuele M. M. de Román ","f","CDMX"
"615",615,2572,"Director: Lic. Nadia Rocío Cedillo González ","f","CDMX"
"616",616,2576,"Director: Mtro. Rodolfo Gerardo del Monte Sánchez ","m","CDMX"
"617",617,2580,"Director: Dr. Margarito Padilla Aguilar ","m","CDMX"
"618",618,2584,"Director: Lic. Héctor A. Núñez Puigvert ","m","CDMX"
"619",619,2588,"Director: Mtro. Juan José Olea Valencia ","m","CDMX"
"620",620,2592,"Director: Mtro. Rodrigo Peniche Amante ","m","CDMX"
"621",621,2596,"Director: Dra. Diana Lucrecia Guillén Rodríguez ","f","CDMX"
"622",622,2600,"Director: Dr. Raymundo Macías ","m","CDMX"
"623",623,2604,"Director: Lic. Reynaldo Ampudia Carrillo ","m","CDMX"
"624",624,2608,"Director: Dr. Francisco Zendejas Vázquez ","m","CDMX"
"625",625,2612,"Director: Mtra. María Guadalupe Hafbach ","f","CDMX"
"626",626,2616,"Director: Dra. Ma. Luisa Velasco Campos ","f","CDMX"
"627",627,2620,"Director: Dra. Patricia Leal de Bauer ","f","CDMX"
"628",628,2624,"Director: M. en E. Miguel Ángel Bañuelos Dosamante ","m","CDMX"
"629",629,2628,"Director: Mtra. Norma Adriana Segobia Urbano ","f","CDMX"
"632",632,2640,"Director: C.P. Hugo Francisco Bravo Malpica ","m","CDMX"
"634",634,2648,"Director: Sor Ma. Luisa Zárate Mendoza ","f","CDMX"
"635",635,2652,"Director: Dra. Natalia Saltalamacchia Ziccardi ","f","CDMX"
"636",636,2656,"Director: Dra. Ma. Paz Berruecos Villalobos ","f","CDMX"
"637",637,2660,"Director: Dr. Juan Luis Álvarez-Gayou Jurgenson ","m","CDMX"
"638",638,2664,"Director: Dra. María Antonia Cortés Jacome ","f","CDMX"
"639",639,2668,"Director: Lic. Carlos A. Reta Martínez ","m","CDMX"
"640",640,2672,"Director: Dra. Lucina Jiménez López ","f","CDMX"
"641",641,2677,"Director: David Rodríguez de la Peña ","m","CDMX"
"642",642,2682,"Director: Mtra. Rosenda Berenice Miranda Vadillo ","f","CDMX"
"643",643,2687,"Director: Lic. Gilberto Guerrero Vázquez ","m","CDMX"
"644",644,2692,"Director: Lic. Ofelia Chávez de la Lama ","f","CDMX"
"645",645,2697,"Director: Lic. Fernando Aragón Monroy ","m","CDMX"
"646",646,2702,"Director: Mtro. Eloy Tarcisio López Cotés ","m","CDMX"
"647",647,2707,"Director: Mtro. Cuauhtémoc Rivera Guzmán ","m","CDMX"
"648",648,2711,"Director: Dr. Marco Antonio Martínez Ríos ","m","CDMX"
"649",649,2715,"Director: Dr. Rafael Estrada Michel ","m","CDMX"
"650",650,2719,"Director: Dr. Alfredo Delgadillo Aguirre ","m","CDMX"
"651",651,2723,"Director: Dr. Alejandro Serrano Sierra ","m","CDMX"
"652",652,2727,"Director: Dr. Jorge Arturo Cardona Pérez ","m","CDMX"
"657",657,2747,"Director: Profra. Patricia Elena Aguilar Salazar ","f","CDMX"
"658",658,2751,"Director: Dr. Mario Alberto Rodríguez Casas ","m","CDMX"
"659",659,2756,"Director: M. en C. Raúl Erasmo Sánchez Rubio ","m","CDMX"
"660",660,2761,"Director: Dr. José Antonio Calderón Arenas ","m","CDMX"
"661",661,2766,"Director: Dr. Luis Alfonso Villa Vargas ","m","CDMX"
"662",662,2771,"Director: M. en C. Vicente Mayagoitia Barragán ","m","CDMX"
"663",663,2776,"Director: Dr. Oscar Camacho Nieto ","m","CDMX"
"664",664,2781,"Director: Dr. Zacarías Torres Hernández ","m","CDMX"
"665",665,2786,"Director: M. en C. Baldomero Morales Campos ","m","CDMX"
"666",666,2791,"Director: M. en C. Elisa Lucia Parera Gónzalez ","f","CDMX"
"667",667,2796,"Director: Dra. en Cs. Norma Patricia Muñoz Sevilla ","f","CDMX"
"668",668,2801,"Director: Dr. Jorge Pérez ","m","CDMX"
"669",669,2806,"Director: M en C. Rosalía María del Consuelo Torres Bezaury ","f","CDMX"
"670",670,2811,"Director: M.C. Crisóforo Ordoñez López ","m","CDMX"
"671",671,2816,"Director: C.P.C. Norma Cano Olea ","f","CDMX"
"672",672,2821,"Director: M. en C. Jaime Ventura Sánchis Cuevas ","m","CDMX"
"673",673,2826,"Director: Ing. Apolinar Francisco Cruz Lazaro ","m","CDMX"
"674",674,2831,"Director: M. en C. Horacio Sánchez Barcenas ","m","CDMX"
"675",675,2836,"Director: M. en C. Ana María Cristina Reyes Reyes ","f","CDMX"
"676",676,2841,"Director: Dr. Adolfo Escamilla Esquivel ","m","CDMX"
"677",677,2846,"Director: Dr. Emmanuel Alejandro Merchan Cruz ","m","CDMX"
"678",678,2851,"Director: M. en C. Alberto Paz Gutiérrez ","m","CDMX"
"679",679,2856,"Director: Ing. Miguel Alvarez Montalvo ","m","CDMX"
"680",680,2861,"Director: Ing. Rafael Navarrete Escalera ","m","CDMX"
"681",681,2866,"Director: Ing. Miguel Angel Alavarez Gómez ","m","CDMX"
"682",682,2871,"Director: Ing. Dora María Martínez Palacios ","f","CDMX"
"683",683,2876,"Director: Ing. Julio Eduardo Morales de la Garza ","m","CDMX"
"684",684,2881,"Director: M. en C. Pino Duran Escamilla ","m","CDMX"
"685",685,2886,"Director: Dra. Rosa Amalia Bobadilla Lugo ","f","CDMX"
"686",686,2891,"Director: Lic. María del Socorro Telles Reyes ","f","CDMX"
"687",687,2896,"Director: Dr. Fernando Vázquez Torres ","m","CDMX"
"688",688,2901,"Director: Dr. Juan Silvestre Aranda Barradas ","m","CDMX"
"689",689,2906,"Director: M. en C. Arodi Rafael Carvallo Domínguez ","m","CDMX"
"690",690,2910,"Director: Dr. Alejandro Rodríguez R. ","m","CDMX"
"691",691,2914,"Director: Dr. Adip Sabag Sabag ","m","CDMX"
"692",692,2918,"Director: Dra. Ximena Iglesias Carrillo ","f","CDMX"
"693",693,2922,"Director: Dr. Arturo Manuel Fernández Pérez ","m","CDMX"
"694",694,2927,"Director: Dr. Alejandro Hernández Delgado ","m","CDMX"
"697",697,2940,"Director: Dr. Ricardo Ramirez Mendoza ","m","CDMX"
"698",698,2945,"Director: Dr. Daniel Moska Arreola ","m","CDMX"
"701",701,2957,"Director: Profr. Salvador Rocha Segura ","m","CDMX"
"702",702,2961,"Director: Mtra. Maricruz Guzman Chiñias ","f","CDMX"
"703",703,2965,"Director: Mtra. Nancy Virginia Benitez Esquivel ","f","CDMX"
"704",704,2969,"Director: Mtra. Concepción Hernández ","f","CDMX"
"705",705,2973,"Director: Dr. Marcelino Martinez Nolasco ","m","CDMX"
"706",706,2977,"Director: Mtra. Guadalupe G. Quintanilla Calderón ","f","CDMX"
"707",707,2981,"Director: Dr. José Gerardo Tinoco Ruiz ","m","CDMX"
"708",708,2985,"Director: Profra. Rosa Luisa Soledad Corrales Melgar ","f","CDMX"
"716",716,3017,"Director: Dr. Eduardo Abel Peñalosa Castro ","m","CDMX"
"717",717,3022,"Director: Dr. Romualdo López Zarate ","m","CDMX"
"718",718,3027,"Director: Dr. Rodolfo René Suárez Molnar ","m","CDMX"
"719",719,3032,"Director: Dr. José Octavio Nateras Domínguez ","m","CDMX"
"720",720,3037,"Director: Ing. Fernando de León González ","m","CDMX"
"723",723,3049,"Director: Lic. Jaime Garduño Garfias ","m","CDMX"
"724",724,3053,"Director: Lic. Alba Rendón Castañón ","f","CDMX"
"727",727,3065,"Director: Dr. Salvador Corrales Ayala E. ","m","CDMX"
"728",728,3069,"Director: Ing. Alejandro L. Elizondo Leal ","m","CDMX"
"729",729,3073,"Director: Dra. Gabriela de la Vega y Vega ","f","CDMX"
"730",730,3077,"Director: Mtro. Jesús Cuandón Vieyra ","m","CDMX"
"731",731,3081,"Director: Mtra. Carmen Beatríz López - Portillo Romano ","f","CDMX"
"734",734,3093,"Director: Mtro. Gerardo Huerta Martínez ","m","CDMX"
"735",735,3097,"Director: Gral. Brigadier Ing. Agustín Carrillo Aguilar ","m","CDMX"
"736",736,3101,"Director: Dr. Armando Martínez Gómez ","m","CDMX"
"737",737,3105,"Director: C.P. Rodrígo Valle Sánchez ","m","CDMX"
"738",738,3109,"Director: Dr. Bernardo González-Aréchiga Ramírez-Wiella ","m","CDMX"
"739",739,3114,"Director: Mtra. Claudia Sánchez Ayala ","f","CDMX"
"740",740,3119,"Director: Mtro. Renzo Jesús Casapia Valencia ","m","CDMX"
"741",741,3124,"Director: Mtra. Juana Rodríguez Díaz ","f","CDMX"
"742",742,3129,"Director: Mtra. María Eugenia Cabrera Pérez ","f","CDMX"
"743",743,3134,"Director: Mtro. Miguel Ángel Hernández Segoviano ","m","CDMX"
"744",744,3139,"Director: Mtro. José Raúl Ayala Magdaleno ","m","CDMX"
"745",745,3143,"Director: Dr. Salomón Héctor Salama Penhos ","m","CDMX"
"746",746,3147,"Director: Dr. Daniel Fainstein ","m","CDMX"
"750",750,3163,"Director: Mtro. David Fernández Dávalos, S.J. ","m","CDMX"
"773",773,3255,"Director: Mtro. Bernardo Ardavín Migoni ","m","CDMX"
"776",776,3269,"Director: Biol. Illiana Barocio de las Fuentes ","f","CDMX"
"778",778,3277,"Director: Lic. Xavier Reyes ","m","CDMX"
"782",782,3293,"Director: Dr. Enrique Alejandro González Álvarez ","m","CDMX"
"783",783,3298,"Director: Mtro. Jorge Manuel iturbe Bermejo ","m","CDMX"
"784",784,3303,"Director: Dr. Pedro M. Argüelles Domenzain ","m","CDMX"
"796",796,3351,"Director: Mtro. José Antonio Espinoza Medina ","m","CDMX"
"798",798,3359,"Director: Mtra. María Eréndira Aguilar Silva ","f","CDMX"
"799",799,3363,"Director: Mtra. Margarita Pérez Nerey ","m","CDMX"
"800",800,3367,"Director: Dr. Enrique Graue Wiechers ","m","CDMX"
"801",800,3367,"Director: Dr Marcos Mazari Hiriart","m","CDMX"
"802",800,3367,"Director: Dr. Gerardo Garc�a Luna Mart�nez","m","CDMX"
"803",800,3367,"Director: Dra. Catalina Elizabeth Stern Forgach","f","CDMX"
"804",800,3367,"Director: Dra Angelica Cuellar Vazquez","f","CDMX"
"805",800,3367,"Director: Dr. Tomas Rubio Perez","m","CDMX"
"806",800,3367,"Director: DR. RA�L CONTRERAS BUSTAMANTE","m","CDMX"
"807",800,3367,"Director: Eduardo Vega L�pez","m","CDMX"
"808",800,3367,"Director: Jorge Enrique Linares Salgado","m","CDMX"
"809",800,3367,"Director: Carlos Agust�n Escalante Sandoval","m","CDMX"
"810",800,3367,"Director: Dr. Germ�n Fajardo Dolci","m","CDMX"
"811",800,3367,"Director: Mar�a Teresa Gabriela Frenk Mora","f","CDMX"
"812",800,3367,"Director: Dr. Francisco Su�rez G�emes","m","CDMX"
"813",800,3367,"Director: Dra. Elba Rosa Leyva Huerta","f","CDMX"
"814",800,3367,"Director: Dr. German Palafox Palafox","m","CDMX"
"815",800,3367,"Director: Dr Dr. Carlos Amador Bedolla","m","CDMX"
"816",800,3367,"Director: MTRA. ROSA AMARILIS Z�RATE GRAJALES","f","CDMX"
"817",800,3367,"Director: MTRA. LETICIA CANO SORIANO","f","CDMX"
"818",801,3372,"Director: Dr. José Daniel Manzano Aguila ","m","CDMX"
"819",802,3377,"Director: Dr. Víctor Manuel Mendoza Núñez ","m","CDMX"
"820",803,3381,"Director: Dr. José Antonio Lozano Díez ","m","CDMX"
"821",804,3385,"Director: Lic. Francisco Fortuño Olguín ","m","CDMX"
"822",805,3389,"Director: Dra. Rosa María Torres Hernández ","f","CDMX"
"824",807,3397,"Director: P. Alejandro Rodríguez Rodríguez ","m","CDMX"
"825",808,3401,"Director: Mtra. Mercedes Cruz Aparicio ","m","CDMX"
"826",809,3405,"Director: Dr. Gonzalo Antonio Vivanco Florido ","m","CDMX"
"827",810,3409,"Director: Dr. Alejandro Montano Durán ","m","CDMX"
"828",811,3414,"Director: Ing. Jorge Vázquez Solache ","m","CDMX"
"829",812,3419,"Director: Ing. León Felipe Aguirre Rasso ","m","CDMX"
"833",816,3435,"Director: M. en Edu. e Ing. José María Riobóo Martí ","m","CDMX"
"834",817,3439,"Director: Mtro. Juan Baqué González ","m","CDMX"
"835",818,3444,"Director: Mtra. Juana García ","f","DGO"
"836",819,3448,"Director: Mtro. José Jesús Alvarado Cabral ","m","DGO"
"837",820,3452,"Director: M.C.A Rolando Cruz Garcia ","m","DGO"
"838",821,3457,"Director: Gloria Alicia Rodríguez Segovia ","f","DGO"
"839",822,3461,"Director: Mtro. José Bernardo Sánchez Reyes ","m","DGO"
"840",823,3465,"Director: Mtro. Manuel de la Rosa Puente ","m","DGO"
"841",824,3469,"Director: Profr. Jorge Aguilar Moncada ","m","DGO"
"842",825,3473,"Director: Profr. Enrique Alberto Rivera Torres ","m","DGO"
"843",826,3478,"Director: Lic. María del Rosario Eugenia Sepúlveda Quiróz ","f","DGO"
"844",827,3482,"Director: Lic. Luis Felipe Gorjón Fernández ","m","DGO"
"845",828,3486,"Director: Mtra. María Teresa Nevarez de Aragón ","f","DGO"
"846",829,3490,"Director: Lic. Blanca Patricia Reyes Martínez ","f","DGO"
"847",830,3494,"Director: Lic. María Julieta Hernández Camargo ","f","DGO"
"848",831,3498,"Director: Mtro. José Luis Ibarra Valenzuela ","m","DGO"
"849",832,3502,"Director: Dr. Manuel Francisco Cervantes Mijares ","m","DGO"
"850",833,3507,"Director: Dr. José Antonio Avila Reyes ","m","DGO"
"851",834,3511,"Director: Ing. Jesús Astorga Pérez ","m","DGO"
"852",835,3515,"Director: M.C. Isela Flores Montenegro ","f","DGO"
"854",837,3523,"Director: Ing. Agustín Cervantes Gómez ","m","DGO"
"855",838,3527,"Director: Lic. Juan Manuel García Hernández ","m","DGO"
"856",839,3531,"Director: Ing. Israel Castro Muñoz ","m","DGO"
"857",840,3535,"Director: Ing. Ana Lilia Lomas Aguirre ","f","DGO"
"858",841,3539,"Director: Profra. Alicia Lorena Ibarra Ávalos ","f","DGO"
"859",842,3543,"Director: Lic. Ing. Juan José Vargas Meraz ","m","DGO"
"860",843,3547,"Director: Prof. José Germán Lozano Reyes ","m","DGO"
"861",844,3552,"Director: Ing. José Jaime García Hernández ","m","DGO"
"865",848,3568,"Director: Dr. Juan Manuel Rodríguez y Rodríguez ","m","DGO"
"866",849,3572,"Director: Arq. Roberto E. Delahanty Matuk ","m","DGO"
"867",850,3576,"Director: Dr. Sergio Arturo Aldaba Carreón ","m","DGO"
"870",853,3588,"Director: Lic. Hugo Edgar Navarrete Gómez ","m","DGO"
"871",854,3592,"Director: M. A. Rubén Solís Ríos ","m","DGO"
"872",855,3597,"Director: MSP. Juan Manuel Candelas Rangel ","m","DGO"
"873",856,3601,"Director: Lic. Luis Arturo Dávila de León, fsc ","m","DGO"
"874",857,3605,"Director: Dr. José Germán Lozano Reyes ","m","DGO"
"875",858,3609,"Director: Mtro. Ricardo Serrato Rojas ","m","DGO"
"876",859,3613,"Director: Dr. Francisco Javier Ibarra Guel ","m","DGO"
"877",860,3617,"Director: Ing. Luis de Villa Barrera ","m","DGO"
"879",862,3625,"Director: Ing. Arturo Fragoso Corral ","m","DGO"
"880",863,3629,"Director: Ing. Francisco Javier Gracia Reyes ","m","DGO"
"881",864,3634,"Director: Lic. Carlos Sandoval Rangel ","m","GTO"
"882",865,3638,"Director: Mtra. Martha Fabiola Carrillo Pérez ","f","GTO"
"883",866,3642,"Director: Dr. Rogelio Casasa Araujo ","m","GTO"
"884",867,3646,"Director: Mtro. José Ángel del Moral Palacio ","m","GTO"
"887",870,3658,"Director: Mario Ortega Rico ","m","GTO"
"888",871,3662,"Director: Mtra. Martha Leticia Preciado Infante ","f","GTO"
"889",872,3666,"Director: Lic. Mario Ortega Rico ","m","GTO"
"890",873,3671,"Director: Alejandra María de la Peña Dávila ","f","GTO"
"891",874,3675,"Director: Lic. Sara Mercedes Cerrut Sánchez ","f","GTO"
"894",877,3687,"Director: Mtro. José Antonio de la Peña Mena ","m","GTO"
"895",878,3692,"Director: Dr. Rafael Rivera Bustamante ","m","GTO"
"896",879,3696,"Director: Dr. Rafael Espinosa Luna ","m","GTO"
"897",880,3700,"Director: Lic. Ezequiel Soto Martínez ","m","GTO"
"898",881,3704,"Director: Lic. Luis Manuel Gutiérrez García ","m","GTO"
"899",882,3708,"Director: Lic. Miguel Ángel Núñez Ramírez ","m","GTO"
"901",884,3717,"Director: Lic. Noé Mosqueda Martínez ","m","GTO"
"903",886,3725,"Director: Lic. Jazbek Turín Cortéz Palacios ","m","GTO"
"904",887,3729,"Director: Dra. Ana Ma. Chávez Hernández ","f","GTO"
"905",888,3733,"Director: Lic. Irma Ruiz Sánchez ","f","GTO"
"906",889,3737,"Director: Profra. María Socorro Zamora Martinez ","f","GTO"
"907",890,3741,"Director: Lic. Edmundo Araujo Vázquez ","m","GTO"
"908",891,3745,"Director: Lic. Fernando Motas Espadas ","m","GTO"
"909",892,3749,"Director: C. Mario Martínez Rangel ","m","GTO"
"910",893,3753,"Director: Profr. Alejandro Montes Ávalos ","m","GTO"
"911",894,3757,"Director: Fernándo Eugenio Ramírez Vera ","m","GTO"
